metric,tanimoto_top_k,needed_top_n,positions_of_tanimoto_topk,seed,group,run_id,target_idx,needed_top_n_all,needed_top_n_at_least_one
zernike,2,14,"[6, 14]",70,15-20,1,60,14,6
zernike,5,58,"[6, 14, 2, 58, 1]",70,15-20,1,60,58,1
zernike,10,199,"[6, 14, 2, 58, 1, 80, 88, 29, 103, 199]",70,15-20,1,60,199,1
rdkit,1,52,[52],70,15-20,1,60,52,52
rdkit,2,403,"[52, 403]",70,15-20,1,60,403,52
rdkit,5,403,"[52, 403, 46, 60, 23]",70,15-20,1,60,403,23
rdkit,10,403,"[52, 403, 46, 60, 23, 268, 65, 111, 73, 176]",70,15-20,1,60,403,23
combined,1,13,[13],70,15-20,1,60,13,13
combined,2,198,"[13, 198]",70,15-20,1,60,198,13
combined,5,198,"[13, 198, 11, 32, 3]",70,15-20,1,60,198,3
combined,10,198,"[13, 198, 11, 32, 3, 155, 38, 42, 44, 165]",70,15-20,1,60,198,3
zernike,1,262,[262],70,15-20,2,150,262,262
zernike,2,262,"[262, 124]",70,15-20,2,150,262,124
zernike,5,305,"[262, 124, 6, 305, 163]",70,15-20,2,150,305,6
zernike,10,358,"[262, 124, 6, 305, 163, 166, 218, 265, 358, 326]",70,15-20,2,150,358,6
rdkit,1,212,[212],70,15-20,2,150,212,212
rdkit,2,275,"[212, 275]",70,15-20,2,150,275,212
rdkit,5,275,"[212, 275, 9, 136, 163]",70,15-20,2,150,275,9
rdkit,10,362,"[212, 275, 9, 136, 163, 248, 218, 214, 362, 332]",70,15-20,2,150,362,9
combined,1,235,[235],70,15-20,2,150,235,235
combined,2,235,"[235, 172]",70,15-20,2,150,235,172
combined,5,235,"[235, 172, 4, 223, 133]",70,15-20,2,150,235,4
combined,10,364,"[235, 172, 4, 223, 133, 179, 217, 238, 364, 321]",70,15-20,2,150,364,4
zernike,1,16,[16],70,20-25,0,465,16,16
zernike,2,39,"[16, 39]",70,20-25,0,465,39,16
zernike,5,48,"[16, 39, 14, 20, 48]",70,20-25,0,465,48,14
zernike,10,48,"[16, 39, 14, 20, 48, 24, 4, 15, 2, 5]",70,20-25,0,465,48,2
rdkit,1,322,[322],70,20-25,0,465,322,322
rdkit,2,322,"[322, 131]",70,20-25,0,465,322,131
rdkit,5,322,"[322, 131, 172, 6, 42]",70,20-25,0,465,322,6
rdkit,10,421,"[322, 131, 172, 6, 42, 421, 15, 27, 163, 39]",70,20-25,0,465,421,6
combined,1,134,[134],70,20-25,0,465,134,134
combined,2,134,"[134, 61]",70,20-25,0,465,134,61
combined,5,134,"[134, 61, 60, 3, 30]",70,20-25,0,465,134,3
combined,10,224,"[134, 61, 60, 3, 30, 224, 2, 12, 35, 9]",70,20-25,0,465,224,2
zernike,1,1,[1],70,20-25,1,60,1,1
zernike,2,15,"[1, 15]",70,20-25,1,60,15,1
zernike,5,313,"[1, 15, 4, 313, 37]",70,20-25,1,60,313,1
zernike,10,327,"[1, 15, 4, 313, 37, 69, 327, 36, 19, 11]",70,20-25,1,60,327,1
rdkit,1,3,[3],70,20-25,1,60,3,3
rdkit,2,36,"[3, 36]",70,20-25,1,60,36,3
rdkit,5,126,"[3, 36, 79, 126, 30]",70,20-25,1,60,126,3
rdkit,10,209,"[3, 36, 79, 126, 30, 116, 209, 100, 66, 87]",70,20-25,1,60,209,3
combined,1,1,[1],70,20-25,1,60,1,1
combined,2,11,"[1, 11]",70,20-25,1,60,11,1
combined,5,161,"[1, 11, 25, 161, 13]",70,20-25,1,60,161,1
combined,10,237,"[1, 11, 25, 161, 13, 100, 237, 71, 27, 44]",70,20-25,1,60,237,1
zernike,1,12,[12],70,20-25,2,150,12,12
zernike,2,257,"[12, 257]",70,20-25,2,150,257,12
zernike,5,257,"[12, 257, 87, 167, 1]",70,20-25,2,150,257,1
zernike,10,434,"[12, 257, 87, 167, 1, 27, 22, 26, 434, 165]",70,20-25,2,150,434,1
rdkit,1,154,[154],70,20-25,2,150,154,154
rdkit,2,154,"[154, 9]",70,20-25,2,150,154,9
rdkit,5,154,"[154, 9, 48, 34, 131]",70,20-25,2,150,154,9
rdkit,10,263,"[154, 9, 48, 34, 131, 164, 263, 11, 59, 10]",70,20-25,2,150,263,9
combined,1,24,[24],70,20-25,2,150,24,24
combined,2,52,"[24, 52]",70,20-25,2,150,52,24
combined,5,52,"[24, 52, 27, 45, 12]",70,20-25,2,150,52,12
combined,10,242,"[24, 52, 27, 45, 12, 36, 78, 2, 242, 26]",70,20-25,2,150,242,2
zernike,1,1,[1],70,25-30,0,465,1,1
zernike,2,25,"[1, 25]",70,25-30,0,465,25,1
zernike,5,462,"[1, 25, 462, 9, 76]",70,25-30,0,465,462,1
zernike,10,462,"[1, 25, 462, 9, 76, 2, 7, 19, 111, 120]",70,25-30,0,465,462,1
rdkit,1,57,[57],70,25-30,0,465,57,57
rdkit,2,132,"[57, 132]",70,25-30,0,465,132,57
rdkit,5,289,"[57, 132, 289, 111, 43]",70,25-30,0,465,289,43
rdkit,10,289,"[57, 132, 289, 111, 43, 32, 253, 114, 40, 217]",70,25-30,0,465,289,32
combined,1,1,[1],70,25-30,0,465,1,1
combined,2,83,"[1, 83]",70,25-30,0,465,83,1
combined,5,351,"[1, 83, 351, 51, 32]",70,25-30,0,465,351,1
combined,10,351,"[1, 83, 351, 51, 32, 3, 131, 59, 45, 178]",70,25-30,0,465,351,1
zernike,1,2,[2],70,25-30,1,60,2,2
zernike,2,27,"[2, 27]",70,25-30,1,60,27,2
zernike,5,144,"[2, 27, 8, 144, 123]",70,25-30,1,60,144,2
zernike,10,268,"[2, 27, 8, 144, 123, 111, 1, 19, 268, 108]",70,25-30,1,60,268,1
rdkit,1,17,[17],70,25-30,1,60,17,17
rdkit,2,234,"[17, 234]",70,25-30,1,60,234,17
rdkit,5,234,"[17, 234, 50, 177, 45]",70,25-30,1,60,234,17
rdkit,10,234,"[17, 234, 50, 177, 45, 41, 163, 138, 165, 116]",70,25-30,1,60,234,17
combined,1,1,[1],70,25-30,1,60,1,1
combined,2,137,"[1, 137]",70,25-30,1,60,137,1
combined,5,137,"[1, 137, 6, 136, 20]",70,25-30,1,60,137,1
combined,10,161,"[1, 137, 6, 136, 20, 19, 25, 54, 161, 78]",70,25-30,1,60,161,1
zernike,1,31,[31],70,25-30,2,150,31,31
zernike,2,31,"[31, 14]",70,25-30,2,150,31,14
zernike,5,50,"[31, 14, 23, 2, 50]",70,25-30,2,150,50,2
zernike,10,101,"[31, 14, 23, 2, 50, 27, 91, 60, 101, 90]",70,25-30,2,150,101,2
rdkit,1,190,[190],70,25-30,2,150,190,190
rdkit,2,190,"[190, 47]",70,25-30,2,150,190,47
rdkit,5,190,"[190, 47, 144, 40, 30]",70,25-30,2,150,190,30
rdkit,10,261,"[190, 47, 144, 40, 30, 247, 261, 15, 182, 102]",70,25-30,2,150,261,15
combined,1,70,[70],70,25-30,2,150,70,70
combined,2,70,"[70, 15]",70,25-30,2,150,70,15
combined,5,70,"[70, 15, 49, 6, 14]",70,25-30,2,150,70,6
combined,10,158,"[70, 15, 49, 6, 14, 102, 158, 11, 110, 54]",70,25-30,2,150,158,6
