group,tanimoto_top_k,combined,rdkit,zernike
15-20,1,63.76,102.24,65.24
15-20,2,101.81,181.0,97.33
15-20,5,196.19,270.81,180.38
15-20,10,251.95,335.76,224.38
20-25,1,39.29,94.81,36.57
20-25,2,77.38,143.86,76.43
20-25,5,155.52,219.43,169.52
20-25,10,234.1,285.52,266.38
25-30,1,89.14,116.43,96.86
25-30,2,122.62,157.24,120.81
25-30,5,169.38,217.9,198.76
25-30,10,228.29,270.48,295.33
