seed,group,run_id,target_idx,target_elongation,spearman_tanimoto_vs_zernike,spearman_tanimoto_vs_rdkit,spearman_tanimoto_vs_combined,rod_ratio,flat_ratio,shape_type
10,15-20,0,292,17.957728207663035,-0.46627497081572716,-0.4285475632843414,-0.5029725113594059,9.442421333215446,1.901813894243922,elongated
10,15-20,1,16,19.612329458584004,-0.49184234714832925,-0.5929730447152871,-0.6369521364886916,10.927776081146225,1.7947228383700253,elongated
10,15-20,2,219,990.3532284433206,-0.4855168650554119,-0.3829216022406258,-0.5304225800999589,5.6728192575604375,174.57866688000473,mixed
10,20-25,0,292,10.677280377537222,-0.1630258106574595,-0.48792331651254306,-0.4582679576019508,3.5361305871957547,3.019481343567784,mixed
10,20-25,1,16,4.002256133373304,-0.753828138204119,-0.7548881860105753,-0.8020350097785933,1.1445595871803178,3.496765192463687,flat
10,20-25,2,219,5.4006154387503225,-0.5381353550474443,-0.6671876765579351,-0.7274514329864548,2.430695573323001,2.22183949280634,mixed
10,25-30,0,292,36.98584882060248,-0.7222380182050847,-0.757747012096482,-0.8127320665427239,14.308204756507545,2.5849398497447216,mixed
10,25-30,1,16,81.50418272693537,-0.7389459400729168,-0.6623915783373976,-0.7508761136731292,16.922269416376157,4.816386044407897,mixed
10,25-30,2,219,15.00717771640115,-0.6159151073230799,-0.5846737330081849,-0.6687630683052852,2.2876024276088467,6.560221088455662,mixed
20,15-20,0,463,30.68801571586495,-0.514894753362146,-0.21502851486104738,-0.47815708525484696,8.919247549617536,3.440650717606789,mixed
20,15-20,1,370,12.249192943753906,-0.6270423256150855,-0.6231233551440228,-0.6616426105222493,3.110292275705837,3.938277113280255,mixed
20,15-20,2,351,9.804309302383075,-0.1560528285486636,-0.4260387763478764,-0.4866252987903517,3.1289157453436904,3.1334526234467686,mixed
20,20-25,0,463,31.272732893361596,-0.690976748678079,-0.4922488833087862,-0.6809346886544172,9.215355795297102,3.3935458809358527,mixed
20,20-25,1,370,37.28911106315613,-0.565745466837289,-0.6122472414708935,-0.6780512350001207,16.661098117640982,2.238094416660242,mixed
20,20-25,2,351,17.06356798502923,-0.4702092377526136,-0.26469256585460077,-0.47429277832773975,7.651401614632973,2.230123151867891,mixed
20,25-30,0,463,6.957534207699838,-0.21393649950503416,-0.41029586884612596,-0.48203220899630583,5.409778422192299,1.286103354948167,elongated
20,25-30,1,370,37.381519263853136,-0.4980391626626747,-0.595200424946278,-0.6338243716348358,7.085130558923909,5.276052268740083,mixed
20,25-30,2,351,6.995180133586577,-0.3916427553902986,-0.20328184079001374,-0.34763184199724745,3.646988002773645,1.9180705036008452,elongated
30,15-20,0,276,19.438644402658095,-0.6683357075596977,-0.6447665451384696,-0.7492467344327208,13.24387254037603,1.4677462467635474,elongated
30,15-20,1,413,75.58191450594575,-0.5294087096942973,-0.38009842287221246,-0.5095925950598208,6.2804208165775055,12.034530203497425,mixed
30,15-20,2,148,853356285.4711502,-0.6834199483303957,-0.3807549556945215,-0.5831404495738465,4.850537686177425,175930244.4410769,mixed
30,20-25,0,276,7.814572006353101,-0.7649677185696693,-0.7534243426612259,-0.8251539223024361,1.6830850771337014,4.643004738287044,flat
30,20-25,1,413,378953.1823556868,-0.6088883119920963,-0.35679973715139895,-0.5616070966804505,4.915889793920054,77087.40360314025,mixed
30,20-25,2,148,86.45286929807882,-0.374014728251684,-0.39819948330395727,-0.448660791462443,7.650839388104707,11.299788753078072,mixed
30,25-30,0,276,75.69897763078005,-0.6756644855977013,-0.7783483110799913,-0.8164361494072482,7.537286492445345,10.043266573181905,mixed
30,25-30,1,413,11.165485677214413,-0.28028857715430855,-0.26262655431344617,-0.3204889779559118,5.496409703506335,2.0314143693708324,mixed
30,25-30,2,148,25.91795037061919,-0.4739636381196126,-0.4681883284641572,-0.6030363377357123,9.974410867925428,2.598444217227101,mixed
40,15-20,0,234,79.55181204207088,-0.7021959268463658,-0.5449336877353187,-0.659741088435693,1.5355842053509683,51.805567893184204,flat
40,15-20,1,296,14.167311201952959,-0.560788723490082,-0.37381018359152485,-0.5464557680772575,8.377989497633358,1.691015618357357,elongated
40,15-20,2,449,1157546028.1854975,-0.7822209237752613,-0.4859382379216263,-0.6802081270975685,6.751051497527894,171461589.65444875,mixed
40,20-25,0,234,142.10844420930573,-0.8985107564526642,-0.7625265953593934,-0.8663120940676533,32.585800113798825,4.361054264914702,mixed
40,20-25,1,296,84.27273968805126,-0.6309668976507231,-0.3990397179901972,-0.5975127121713305,3.5132273119309456,23.98727208315163,mixed
40,20-25,2,449,26.02270723773164,-0.6245085834319241,-0.33610295289373926,-0.62171620349132,1.6693666967964367,15.588370876063612,flat
40,25-30,0,234,41.049116044601256,-0.3222397566216771,-0.4239304633363111,-0.48671888355023296,6.138302788341327,6.687372279573217,mixed
40,25-30,1,296,26.226463342295432,-0.5758470193398846,-0.5635111186227877,-0.6534117874302823,17.088051023636037,1.5347837564575282,elongated
40,25-30,2,449,16.979024590057268,-0.4868593207344647,-0.46106778523475356,-0.6109066472923353,12.847076341759069,1.3216255605208935,elongated
50,15-20,0,254,3.9027988303468772,-0.7119594369461815,-0.5968508583431923,-0.6916916242122798,1.487171400677354,2.624310025974587,mixed
50,15-20,1,438,9.726278379567052,-0.48564975734601723,-0.4717051452302194,-0.6170915324625154,2.8099920505486558,3.461318810598733,mixed
50,15-20,2,136,19.212756926115784,-0.5504889912472896,-0.3504449948196392,-0.52931377283033,7.292613188022443,2.634550370908694,mixed
50,20-25,0,254,41.090167974216925,-0.7244583625081488,-0.6535678586087837,-0.7337927904000772,9.025938134865216,4.5524539590462165,mixed
50,20-25,1,438,29.383185030611834,-0.6300101890528044,-0.5196666103290919,-0.6554003428543834,6.43351508481895,4.567205415484153,mixed
50,20-25,2,136,27.06886478419406,-0.2673671197817321,-0.32181239587608945,-0.3839145278508824,1.7448482951354076,15.513592102162855,flat
50,25-30,0,254,17.542518507318416,-0.4160348649105439,-0.34035888644759393,-0.487976531376005,4.394773923465014,3.991677106522883,mixed
50,25-30,1,438,24.870502512363895,-0.5384090590820194,-0.6984286645580317,-0.7135916169688774,9.275303344892112,2.6813680893571403,mixed
50,25-30,2,136,8.981974156428343,-0.6579217229640002,-0.8312597242678127,-0.8422282637564285,1.445471740814024,6.213870452862273,flat
60,15-20,0,157,29.6170655820895,-0.6397480261728276,-0.32288924837627064,-0.6003819687567906,6.095527871609999,4.85881879388009,mixed
60,15-20,1,145,12.307272698665155,-0.45238735072010816,-0.3009813989898547,-0.5608225395766256,5.183124368940537,2.3744891572525746,mixed
60,15-20,2,295,653097134.113197,-0.6876523166815557,-0.4194483424680686,-0.6764510225269816,6.837219816994346,95520861.80539462,mixed
60,20-25,0,157,30.14547265931688,-0.6375471907670762,-0.5044213728662142,-0.6455480599753723,20.04315610785769,1.5040282168730423,elongated
60,20-25,1,145,19.53603394756053,-0.278940338508342,-0.49405104184272153,-0.551076417896033,2.4066943672580123,8.117372175911242,mixed
60,20-25,2,295,18.98817302175723,-0.5509087705750966,-0.426610146234883,-0.595712789330777,10.766185140699562,1.7636862677153873,elongated
60,25-30,0,157,41.32706938612294,-0.48502972209479195,-0.5151892218171281,-0.5836541516768475,11.591679147626738,3.5652357755360944,mixed
60,25-30,1,145,32.95005001957266,-0.5327335763752464,-0.37309535632941443,-0.537574100914458,7.396390449095747,4.454882434518752,mixed
60,25-30,2,295,11.997342666615358,-0.3003833208585846,-0.5017558007581429,-0.6042210686433107,6.622396090878664,1.8116316865941842,elongated
70,15-20,0,465,66.80345016329348,-0.805730690296255,-0.5896616365260641,-0.7526847429799357,15.29140673322801,4.368692209678161,mixed
70,15-20,1,60,1040838465.4671508,-0.6606491054397952,-0.454218316150373,-0.6880877900379071,6.2370137417289335,166880898.8675037,mixed
70,15-20,2,150,18.312946614595074,-0.44219900041045945,-0.44889016587391645,-0.5557573943066856,6.490362935575399,2.82155969821815,mixed
70,20-25,0,465,242.91228682245756,-0.6899678875823936,-0.48769104474008257,-0.6649274452519496,1.8943513690191363,128.22979428491374,flat
