group,tanimoto_top_k,rdkit,zernike,combined
15-20,1,102.24,65.24,63.76
15-20,2,181.0,97.33,101.81
15-20,5,270.81,180.38,196.19
15-20,10,335.76,224.38,251.95
20-25,1,94.81,36.57,39.29
20-25,2,143.86,76.43,77.38
20-25,5,219.43,169.52,155.52
20-25,10,285.52,266.38,234.1
25-30,1,116.43,96.86,89.14
25-30,2,157.24,120.81,122.62
25-30,5,217.9,198.76,169.38
25-30,10,270.48,295.33,228.29
